"","id.x","xcoord","ycoord","NM_MU","IVS_2000","IVS_INF_00","IVS_CPH_00","IVS_REN_00","IVS_2010","IVS_INF_10","IVS_CPH_10","IVS_REN_10","MASC","FEM","POP","DOM_OCU","Dens_Dom","Dens_hab","ocup_2000","ocup_2010","ocup_2018","Pop_Urbana","Pop_Rural","Pop_Total","Area","VTN_MED","URB_RURAL"
"34","F1231",-36.0723653183769,-8.00588903298201,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,31,27,58,16,0,0.001447045568194,1,0,0,34125,1429,35554,346,5105.25,1
"35","F1080",-36.0572904293947,-8.01111270240803,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"36","F1081",-36.05729943384,-8.0110602275225,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"37","F1084",-36.0573141172654,-8.01074702665763,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"38","F1085",-36.0572809717025,-8.01074258148084,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"39","F1086",-36.0572483057401,-8.01073638949883,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"40","F1087",-36.0572107074358,-8.01072959036091,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"41","F1088",-36.0571751357186,-8.01072345922657,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"42","F1548",-36.057755758196,-8.01102651229381,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"43","F1549",-36.0577269243401,-8.01104205063638,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"44","F1083",-36.0573772090998,-8.0108599318672,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,55,59,114,34,0.001,0.002844273919689,1,0,0,34125,1429,35554,346,5105.25,1
"45","F1497",-36.058759965136,-8.00891240298677,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
"46","F1498",-36.0586972852203,-8.00897202156724,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,311,325,636,179,0.004,0.015867997423958,1,0,0,34125,1429,35554,346,5105.25,1
